Czas [s];Prad [A];Napiecie [V]
0.064;0;0
0.128;0;0
0.19;0;0
0.258;0;0
0.321;0;0
0.371;0;0
0.434;0;0
0.497;0;0
0.562;0;0
0.626;0;0
0.689;0;0
0.752;0;0
0.815;0;0
0.876;0;0
0.933;0;0
0.999;0;0
1.06;0;0
1.126;0;0
1.185;0;0
1.254;0;0
1.315;0;0
1.375;0;0
1.443;0;0
1.504;0;0
1.559;0;0
1.629;0;0
1.683;0;0
1.747;0;0
1.811;0.18;4.2
1.875;3.08;11.9
1.939;7.39;16.4
2.003;11.21;19.4
2.058;13.81;21.6
2.127;15.72;24.2
2.19;16.97;27.2
2.253;19.12;30.8
2.309;21.49;34.5
2.372;23.05;38.7
2.436;25.15;43.1
2.498;27.56;46.5
2.561;29.38;49.4
2.626;30.74;52.8
2.691;32.04;55
2.754;33.07;56.4
2.818;33.62;57.2
2.882;34.09;57.7
2.943;34.51;58.1
3.008;34.69;58.3
3.072;34.88;58.5
3.132;35.1;58.6
3.19;35.14;58.6
3.247;35.14;58.5
3.31;35.32;58.5
3.372;35.36;58.5
3.436;35.21;58.3
3.501;35.31;58.2
3.565;35.36;57.9
3.628;35.14;57.6
3.692;35.07;57.3
3.756;35.1;57
3.819;34.83;56.6
3.88;34.64;56.2
3.945;34.56;55.7
4.01;34.15;55.1
4.075;33.71;54.5
4.121;33.55;54.1
4.187;32.95;53.4
4.251;31.64;52.5
4.315;30.74;51.7
4.38;29.88;50.8
4.444;27.83;49.7
4.508;25.2;48.3
4.571;22.43;46.8
4.635;20.25;45.3
4.69;18.87;44.1
4.754;17.71;42.6
4.811;17.02;41.2
4.872;16.54;39.7
4.936;16.44;38.3
5.001;16.77;37
5.064;17.29;35.8
5.128;17.97;34.5
5.19;18.82;33.2
5.254;0;0
5.315;0;0
5.376;0;0
5.444;0;0
5.508;0;0
5.572;0;0
5.622;0;0
5.684;0;0
5.748;0;0
5.811;0;0
5.876;0;0
5.939;0;0
6.003;0;0
6.068;0;0
6.132;0;0
6.197;0;0
6.261;0;0
6.325;0;0
6.371;0;0
6.437;0;0
6.499;0;0
6.565;0;0
6.629;0;0
6.695;0;0
6.758;0;0
6.821;0;0
6.884;0;0
6.934;0;0
7.013;0;0
7.075;0;0
7.141;0;0
7.203;0;0
7.267;0;0
7.332;0;0
7.396;0;0
7.462;0;0
7.523;0;0
7.587;0;0
7.652;0;0
7.716;0;0
7.78;0;0
7.845;0;0
7.913;0;0
7.969;0;0
8.033;0;0
8.097;0;0
8.162;0;0
8.218;0;0
8.279;0;0
8.341;0;0
8.402;0;0
8.464;0;0
8.527;0;0
8.589;0;0
8.654;0;0
8.715;0;0
8.776;0;0
8.839;0;0
8.904;0;0
8.968;0;0
9.03;0;0
9.091;0;0
9.154;0;0
9.217;0;0
9.287;0;0
9.344;0;0
9.402;0;0
9.467;0;0
9.531;0;0
9.594;0;0
9.66;0;0
9.722;0;0
9.79;0;0
9.848;0;0
9.913;0;0
9.977;0;0
10.04;0;0
10.104;0;0
10.157;0;0
10.217;0;0
10.28;0;0
10.346;0;0
10.409;0;0
10.473;0;0
10.538;0;0
10.601;0;0
10.665;0;0
10.729;0;0
10.777;0;0
10.839;0;0
10.902;0;0
10.974;0;0
11.037;0;0
